Lineage,Earliest date
B.1.1.277,2020-03-17
K.1,2020-05-07
K.2,2020-07-26
K.3,2020-08-29
B.1.1.279,2020-03-21
B.1.1.280,2020-07-30
B.1.1.282,2020-03-26
B.1.1.283,2020-03-16
B.1.1.284,2020-05-22
B.1.1.285,2020-01-09
B.1.1.286,2020-06-04
B.1.1.288,2020-05-03
B.1.1.289,2020-03-20
B.1.1.290,2020-05-11
B.1.1.291,2020-03-09
B.1.1.294,2020-03-31
M.1,2020-12-07
M.2,2020-10-26
M.3,2020-09-01
B.1.1.296,2020-03-20
B.1.1.297,2020-07-16
AG.1,2020-09-11
B.1.1.298,2020-06-08
B.1.1.299,2020-05-22
B.1.1.300,2020-06-11
B.1.1.301,2020-05-22
B.1.1.302,2020-07-06
B.1.1.303,2020-06-09
B.1.1.304,2020-03-31
B.1.1.305,2020-04-23
AF.1,2020-10-16
B.1.1.306,2020-03-01
AE.1,2020-05-08
AE.2,2020-06-23
AE.3,2020-06-04
AE.4,2020-06-23
AE.5,2020-06-28
AE.6,2020-08-09
AE.7,2020-09-11
AE.8,2020-07-24
B.1.1.307,2020-06-22
B.1.1.308,2020-08-31
B.1.1.309,2020-04-13
B.1.1.310,2020-05-15
B.1.1.311,2020-07-02
B.1.1.312,2020-06-11
B.1.1.315,2020-03-19
AD.1,2020-10-22
AD.2,2020-07-21
AD.2.1,2020-12-04
B.1.1.316,2020-05-17
R.1,2020-01-14
R.2,2021-01-04
B.1.1.317,2020-03-19
AS.1,2020-10-21
AS.2,2020-09-24
B.1.1.318,2020-05-14
AZ.1,2021-01-22
AZ.2,2021-02-05
AZ.2.1,2021-03-15
AZ.3,2021-02-08
AZ.4,2021-02-08
AZ.5,2021-02-03
AZ.6,2021-03-04
B.1.1.319,2020-03-02
B.1.1.320,2020-09-01
B.1.1.322,2020-04-13
B.1.1.323,2020-02-29
B.1.1.324,2020-05-22
B.1.1.325,2020-07-16
B.1.1.326,2020-03-23
B.1.1.327,2020-11-22
B.1.1.328,2020-05-04
B.1.1.329,2020-05-28
B.1.1.330,2021-01-02
B.1.1.331,2020-02-26
B.1.1.332,2020-07-01
B.1.1.333,2020-01-29
B.1.1.334,2020-05-23
B.1.1.335,2020-04-03
B.1.1.336,2020-09-01
B.1.1.337,2020-06-27
B.1.1.338,2020-12-02
B.1.1.339,2020-03-19
B.1.1.340,2020-04-06
B.1.1.341,2020-09-14
B.1.1.342,2020-06-16
B.1.1.343,2020-11-09
B.1.1.344,2020-04-09
B.1.1.345,2020-11-10
B.1.1.346,2020-09-21
B.1.1.347,2020-07-14
B.1.1.348,2020-04-30
B.1.1.349,2020-08-04
B.1.1.350,2020-03-23
B.1.1.351,2020-09-10
B.1.1.352,2020-09-29
B.1.1.353,2020-09-08
B.1.1.354,2020-05-19
B.1.1.355,2020-09-10
B.1.1.356,2020-03-19
B.1.1.357,2020-07-08
B.1.1.358,2020-09-10
B.1.1.359,2020-07-06
B.1.1.360,2020-04-03
B.1.1.361,2020-06-04
B.1.1.362,2020-04-25
B.1.1.363,2020-03-30
B.1.1.364,2020-05-22
B.1.1.365,2020-05-25
B.1.1.366,2020-03-16
B.1.1.367,2020-05-14
B.1.1.368,2020-06-09
B.1.1.369,2020-03-02
B.1.1.370,2020-04-05
AT.1,2020-09-17
B.1.1.371,2020-03-07
B.1.1.372,2020-03-08
B.1.1.373,2020-08-07
B.1.1.374,2020-10-23
B.1.1.375,2020-05-07
B.1.1.376,2020-05-11
B.1.1.377,2020-10-19
B.1.1.378,2020-03-16
B.1.1.379,2020-04-05
B.1.1.380,2020-06-12
B.1.1.381,2020-05-04
B.1.1.382,2020-04-19
B.1.1.383,2020-04-29
B.1.1.384,2020-12-28
B.1.1.385,2020-09-11
B.1.1.386,2020-05-30
B.1.1.387,2020-08-04
B.1.1.388,2020-04-26
B.1.1.389,2020-06-01
B.1.1.391,2020-03-30
B.1.1.392,2020-09-16
B.1.1.393,2020-11-04
B.1.1.394,2020-06-21
B.1.1.395,2020-04-27
B.1.1.396,2020-07-25
B.1.1.397,2020-08-17
B.1.1.398,2020-03-19
B.1.1.399,2020-04-15
B.1.1.400,2020-04-07
B.1.1.401,2020-06-01
B.1.1.402,2020-05-12
B.1.1.403,2020-09-03
B.1.1.404,2020-05-25
B.1.1.405,2020-09-14
AC.1,2020-10-10
B.1.1.406,2020-03-25
B.1.1.407,2020-06-09
B.1.1.408,2020-07-11
B.1.1.409,2020-03-17
B.1.1.410,2020-05-19
B.1.1.411,2020-03-22
B.1.1.412,2020-06-18
B.1.1.413,2020-09-07
B.1.1.414,2020-07-14
B.1.1.415,2020-10-21
B.1.1.416,2020-03-19
B.1.1.417,2020-06-23
B.1.1.418,2020-08-06
B.1.1.419,2020-03-14
B.1.1.420,2020-10-01
B.1.1.421,2020-05-28
B.1.1.422,2020-10-26
B.1.1.423,2020-05-19
B.1.1.424,2020-04-05
B.1.1.425,2020-08-25
B.1.1.426,2020-04-21
B.1.1.427,2020-07-25
B.1.1.428,2020-10-26
B.1.1.429,2020-09-15
B.1.1.430,2020-06-11
B.1.1.431,2020-06-23
B.1.1.432,2020-04-24
B.1.1.433,2020-08-09
B.1.1.434,2020-06-01
B.1.1.435,2020-09-26
B.1.1.436,2020-03-23
B.1.1.437,2020-06-08
B.1.1.438,2020-03-12
B.1.1.440,2020-05-09
B.1.1.441,2020-06-26
B.1.1.442,2020-05-13
B.1.1.444,2020-07-27
B.1.1.445,2020-12-14
B.1.1.446,2020-08-15
B.1.1.447,2020-05-05
B.1.1.448,2020-05-04
B.1.1.449,2020-08-19
B.1.1.450,2020-11-20
B.1.1.451,2020-10-10
B.1.1.452,2020-09-10
B.1.1.453,2020-08-05
B.1.1.456,2020-06-18
B.1.1.458,2020-05-14
B.1.1.459,2020-04-04
B.1.1.461,2020-03-20
B.1.1.462,2020-03-25
B.1.1.463,2020-05-11
B.1.1.464,2020-04-01
AW.1,2020-10-12
B.1.1.465,2020-04-21
B.1.1.466,2020-07-21
B.1.1.467,2020-10-08
B.1.1.480,2020-04-13
B.1.1.481,2020-07-27
B.1.1.482,2020-03-02
AV.1,2020-05-12
B.1.1.483,2020-12-06
B.1.1.484,2020-05-31
B.1.1.485,2020-03-20
B.1.1.486,2020-05-26
B.1.1.487,2020-03-22
B.1.1.500,2020-04-10
B.1.1.506,2020-05-14
B.1.1.507,2020-09-07
B.1.1.512,2020-07-21
B.1.1.513,2020-03-16
B.1.1.514,2020-04-21
B.1.1.515,2020-03-16
B.1.1.516,2020-04-14
B.1.1.517,2020-12-02
B.1.1.518,2020-06-05
B.1.1.519,2020-07-31
B.1.1.521,2020-05-15
B.1.1.522,2020-04-22
B.1.1.523,2020-07-13
B.1.1.524,2020-10-22
B.1.1.525,2020-12-12
B.1.1.526,2020-08-31
B.1.1.528,2020-12-07
B.1.1.529,
BA.1,2021-09-12
BA.1.1,2021-09-18
BA.1.2,
BA.1.3,
BA.1.4,
BA.1.5,
BA.1.6,
BA.1.7,
BA.1.8,
BA.1.9,
BA.1.10,
BA.1.12,
BA.1.13,
BA.1.13.1,
BA.1.14,
BA.1.15,
BA.1.15.1,
BA.2,2021-11-17
BA.3,2021-11-23
BB.2,2021-03-21
B.1.2,2020-01-21
B.1.3,2020-04-18
B.1.6,2020-03-05
B.1.8,2020-03-04
B.1.12,2020-03-04
B.1.13,2020-03-09
B.1.14,2020-03-16
B.1.22,2020-03-05
B.1.22.1,2020-09-07
B.1.23,2020-03-18
B.1.35,2020-03-20
B.1.36,2020-02-16
B.1.36.1,2020-01-10
B.1.36.2,2020-06-30
B.1.36.7,2020-08-17
B.1.36.8,2020-04-11
B.1.36.9,2020-04-21
B.1.36.10,2020-04-24
B.1.36.12,2020-06-12
B.1.36.16,2020-05-03
B.1.36.17,2020-07-16
B.1.36.18,2020-06-05
B.1.36.19,2020-06-08
B.1.36.20,2020-08-20
B.1.36.21,2020-10-07
B.1.36.22,2020-06-04
B.1.36.23,2020-05-08
B.1.36.24,2020-06-04
B.1.36.25,2020-10-12
B.1.36.26,2020-08-26
B.1.36.28,2020-09-09
B.1.36.27,2020-09-18
B.1.36.29,2020-06-27
B.1.36.31,2020-03-08
B.1.36.33,2020-05-23
B.1.36.34,2020-06-10
B.1.36.35,2020-07-16
B.1.36.36,2020-06-03
B.1.36.37,2020-10-06
B.1.36.38,2020-06-08
B.1.36.39,2020-06-01
B.1.37,2020-03-10
B.1.38,2020-03-17
B.1.39,2020-03-09
B.1.40,2020-03-18
B.1.44,2020-03-23
B.1.67,2020-03-23
B.1.69,2020-03-06
B.1.70,2020-03-13
B.1.76,2020-02-24
B.1.77,2020-05-18
B.1.78,2020-03-12
B.1.81,2020-03-18
B.1.83,2020-03-20
B.1.84,2020-03-31
B.1.91,2020-02-21
B.1.93,2020-03-06
B.1.94,2020-03-15
B.1.96,2020-04-01
B.1.97,2020-03-24
B.1.103,2020-03-14
B.1.104,2020-03-02
B.1.105,2020-03-06
B.1.106,2020-04-23
B.1.108,2020-03-14
