sample_id,frequency_X,frequency_Y,lineage_X,lineage_Y,country,time,X_series,frequency_X+Y
hCoV-19/India/DL-ILBS-WGS3051/2022,0.230686192,0.000797897,BA.1.1,BA.2.78,India,2021-12-02_2022-01-01,Others,0.231484089
hCoV-19/England/PHEC-YY8R3OZ/2022,0.015353721,0.210308329,BA.2.75.2,BA.5.2,United Kingdom,2022-09-12_2022-10-12,Others,0.225662051
hCoV-19/India/KA-SLS-49153/2022,0.194717763,0.026152253,BA.2.75.2,BA.5.2,India,2022-09-02_2022-10-02,Others,0.220870016
hCoV-19/England/QEUH-325B11C1/2022,0.003949908,0.21589838,BA.2.75.5,BA.5.2,United Kingdom,2022-09-10_2022-10-10,Others,0.219848288
hCoV-19/Estonia/RC0706627/2022,0.002475248,0.215346535,AY.4.5,BA.2.9,Estonia,2022-04-30_2022-05-30,Others,0.217821782
hCoV-19/South Korea/KDCA184887/2022,0.000304971,0.216681915,BA.5.2.2,BN.1.3,South Korea,2022-11-15_2022-12-15,Others,0.216986886
hCoV-19/Germany/NW-RKI-I-1033198/2022,0.000419913,0.21308263,BQ.1.17,BA.5.2,Germany,2022-10-12_2022-11-11,Others,0.213502543
hCoV-19/Brazil/MG-FIOCRUZ-1365/2022,0.135716071,0.077230692,BA.1.1,BA.2.9,Brazil,2022-04-11_2022-05-11,XAG,0.212946763
hCoV-19/Germany/SH-RKI-I-888008/2022,0.001210894,0.208758063,BA.5.2.2,BA.2,Germany,2022-05-25_2022-06-24,Others,0.209968957
hCoV-19/Sweden/1912456764/2021,0.015229807,0.194180038,B.1.351,B.1.1.7,Sweden,2021-01-05_2021-02-04,Others,0.209409845
hCoV-19/India/TG-GMCH-ICMR-INSACOG-2744/2022,0.073965678,0.132765731,BA.5.2,BA.2,India,2022-05-20_2022-06-19,Others,0.206731409
hCoV-19/Germany/NW-RKI-I-882489/2022,0.003770969,0.202883682,BA.5,BA.2.9,Germany,2022-05-11_2022-06-10,Others,0.206654651
hCoV-19/India/DL-ILBSWGS6271/2022,0.118322204,0.087785198,BA.5.2,BA.2,India,2022-06-07_2022-07-07,Others,0.206107401
hCoV-19/India/GJ-GBRC9153/2022,0.198418582,0.007165802,BA.2.75.2,BJ.1,India,2022-08-29_2022-09-28,Others,0.205584383
hCoV-19/India/GJ-GBRC9137/2022,0.198418582,0.007165802,BA.2.75.2,BJ.1,India,2022-08-29_2022-09-28,Others,0.205584383
hCoV-19/Germany/NW-RKI-I-868744/2022,0.202883682,0.000332733,BA.2.9,BA.5.1.12,Germany,2022-05-11_2022-06-10,Others,0.203216415
hCoV-19/Chile/RM-PUC_MVL_1495/2021,0.200587495,0.002517835,B.1.621,B.1.617.2,Chile,2021-08-10_2021-09-09,Others,0.203105329
hCoV-19/USA/AZ-ASU80647/2022,0.011973175,0.18812382,BA.5.2.1,BA.2,USA,2022-05-07_2022-06-06,Others,0.200096995
hCoV-19/India/TN-CL-316_S127_R1_001/2021,0.026070039,0.172607004,AY.112,B.1.1.7,India,2021-03-17_2021-04-16,Others,0.198677043
hCoV-19/Sweden/2955075164/2022,0.017590711,0.176545718,BA.1.13,BA.2.9,Sweden,2022-01-15_2022-02-14,Others,0.19413643
hCoV-19/USA/NC-CDC-LC0578320/2022,0.000130609,0.193497528,BA.1.1.7,BA.2.9,USA,2022-03-14_2022-04-13,Others,0.193628137
hCoV-19/Iran/GRC-T-I-11-122/2021,0.010752688,0.182795699,B.1.36.9,B.1.1.7,Iran,2021-01-02_2021-02-01,Others,0.193548387
hCoV-19/Cambodia/g0802018/2022,0.089655172,0.103448276,BA.5.2.1,BA.2,Cambodia,2022-07-03_2022-08-02,Others,0.193103448
hCoV-19/USA/IL-CDC-QDX40314446/2022,0.037249018,0.154094608,BA.4.6,BA.5.2,USA,2022-07-15_2022-08-14,Others,0.191343625
hCoV-19/Denmark/DCGC-304249/2021,0.189513093,2.09E-05,BA.1.1,AY.122.4,Denmark,2021-11-27_2021-12-27,Others,0.189534008
hCoV-19/USA/CA-SEARCH-17410/2021,0.151021259,0.0330359,B.1.429,B.1.1.7,USA,2021-01-10_2021-02-09,Others,0.18405716
hCoV-19/Switzerland/BE-ETHZ-410023/2020,0.099326599,0.083894501,B.1.177.44,B.1.1.39,Switzerland,2020-11-16_2020-12-16,Others,0.1832211
hCoV-19/India/TN-INSACOG-CSIR-NEERI2730/2022,0.165681679,0.016914612,BA.2.75.2,BA.5.2.1,India,2022-08-13_2022-09-12,Others,0.182596291
hCoV-19/USA/WA-CDC-QDX37843347/2022,5.14E-06,0.181999866,BF.7,BA.2,USA,2022-05-08_2022-06-07,Others,0.182005004
hCoV-19/India/JK-NCDC-470952/2021,0.129682122,0.05152865,AY.112,AY.75,India,2021-06-05_2021-07-05,Others,0.181210771
hCoV-19/France/COR-LBZCentre-B2203280077/2022,0.179295855,0.001511968,BA.1.1,BA.2.23,France,2022-02-26_2022-03-28,XM,0.180807823
hCoV-19/Mexico/MEX-INMEGEN-06-03-371/2021,0.003176764,0.17699115,B.1.631,B.1.1.7,Mexico,2021-05-24_2021-06-23,Others,0.180167915
hCoV-19/USA/CA-CDPH-FS27412917/2022,0.010086989,0.168250149,BA.5.6,BA.2,USA,2022-05-10_2022-06-09,Others,0.178337138
hCoV-19/England/QEUH-325D6973/2022,0.002853603,0.174520332,BA.2.75.1,BA.5.2,United Kingdom,2022-09-24_2022-10-24,Others,0.177373935
hCoV-19/USA/WA-CDC-UW22071086692/2022,0.076777038,0.097475966,BA.5.6,BA.4.1,USA,2022-06-10_2022-07-10,Others,0.174253004
hCoV-19/Germany/NW-RKI-I-881731/2022,0.007053856,0.166151787,BA.5,BA.2.9,Germany,2022-05-16_2022-06-15,Others,0.173205643
hCoV-19/South Korea/KDCA91805/2022,0.001244091,0.171186862,BA.5.2.2,BA.2,South Korea,2022-05-30_2022-06-29,Others,0.172430953
hCoV-19/Germany/BY-RKI-I-891880/2022,0.167766727,2.26E-05,BE.1.1,BA.4.1.4,Germany,2022-05-24_2022-06-23,Others,0.167789331
hCoV-19/Latvia/596/2021,0.003610108,0.160649819,B.1.177.7,B.1.1.141,Latvia,2021-01-15_2021-02-14,Others,0.164259928
hCoV-19/Germany/SH-RKI-I-888354/2022,0.001383983,0.162772924,BA.5.2.2,BA.2,Germany,2022-05-29_2022-06-28,Others,0.164156906
hCoV-19/India/MH-RFIP06334/2021,0.16097654,0.00019073,AY.112,AY.28,India,2021-11-08_2021-12-08,Others,0.161167271
hCoV-19/Italy/PIE_IRCC_15882155/2022,0.000120904,0.160077379,BA.1.9,BA.2.9,Italy,2022-03-05_2022-04-04,Others,0.160198283
hCoV-19/India/MH-ICMR-NIV-INSACOG-G-12317/2022,0.105207451,0.054085521,BA.2.75.1,BA.5.2.1,India,2022-07-14_2022-08-13,Others,0.159292972
hCoV-19/USA/UT-UPHL-220716246640/2022,0.002583298,0.155957402,BE.3,BA.2,USA,2022-05-12_2022-06-11,Others,0.1585407
hCoV-19/England/PHEC-YYGE816/2022,0.001545206,0.154969815,BA.5.2.2,BA.4.1,United Kingdom,2022-06-14_2022-07-14,Others,0.156515021
hCoV-19/USA/TX-HMH-MCoV-102669/2022,0.061873484,0.093535738,BA.5.2.1,BA.2,USA,2022-05-24_2022-06-23,Others,0.155409222
hCoV-19/Israel/SMC-7074930/2022,0.08258908,0.072553172,BF.5,BA.4.1,Israel,2022-05-14_2022-06-13,Others,0.155142252
